service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,events_and_status,operating_days,duty
27690,1,1,1,1,1,0,0,20260712,20260822,,muwtf,
27693,1,1,1,1,1,0,0,20260712,20260822,PHoff,muwtf,
27694,0,0,0,0,0,0,0,20260712,20260822,PHon,muwtf,
27695,1,1,1,1,1,0,0,20260712,20260822,R2off,muwtf,60-22
27696,0,0,0,0,0,0,0,20260712,20260822,R2on,muwtf,60-22
27697,1,1,1,1,1,0,0,20260712,20260822,R3off,muwtf,61-08
27698,0,0,0,0,0,0,0,20260712,20260822,R3on,muwtf,61-08
27699,1,1,1,1,1,0,0,20260712,20260822,RAoff,muwtf,52-04
27700,0,0,0,0,0,0,0,20260712,20260822,RAon,muwtf,52-04
27701,1,1,1,1,1,0,0,20260712,20260822,RDoff,muwtf,7-06
27704,1,1,1,1,1,0,0,20260712,20260822,RFoff,muwtf,C-03
27707,1,1,1,1,1,0,0,20260712,20260822,RGoff,muwtf,40-08
27708,1,1,1,1,1,0,0,20260712,20260822,RGoff,muwtf,60-23
27710,0,0,0,0,0,0,0,20260712,20260822,RGon,muwtf,60-23
27714,1,1,1,1,1,0,0,20260712,20260822,RIoff,muwtf,1L-08
27715,0,0,0,0,0,0,0,20260712,20260822,RIon,muwtf,1L-08
27716,1,1,1,1,1,0,0,20260712,20260822,RLoff,muwtf,51-08
27717,1,1,1,1,1,0,0,20260712,20260822,RLoff,muwtf,51-07
27718,0,0,0,0,0,0,0,20260712,20260822,RLon,muwtf,51-07
27719,0,0,0,0,0,0,0,20260712,20260822,RLon,muwtf,51-08
27720,1,1,1,1,1,0,0,20260712,20260822,RNoff,muwtf,A-05
27723,1,1,1,1,1,0,0,20260712,20260822,ROoff,muwtf,42-04
27726,1,1,1,1,1,0,0,20260712,20260822,RQoff,muwtf,51-03
27727,1,1,1,1,1,0,0,20260712,20260822,RQoff,muwtf,53-06
27732,1,1,1,1,1,0,0,20260712,20260822,RRoff,muwtf,123-02
27735,1,1,1,1,1,0,0,20260712,20260822,RUoff,muwtf,E-11
27736,1,1,1,1,1,0,0,20260712,20260822,RUoff,muwtf,E-10
27737,1,1,1,1,1,0,0,20260712,20260822,RUoff,muwtf,65-02
27738,1,1,1,1,1,0,0,20260712,20260822,RUoff,muwtf,60-05
27741,0,0,0,0,0,0,0,20260712,20260822,RUon,muwtf,E-10
27742,0,0,0,0,0,0,0,20260712,20260822,RUon,muwtf,E-11
27745,1,1,1,1,1,0,0,20260712,20260822,RVoff,muwtf,10-02
27746,1,1,1,1,1,0,0,20260712,20260822,RVoff,muwtf,10-01
27747,1,1,1,1,1,0,0,20260712,20260822,RVoff,muwtf,6-06
27748,1,1,1,1,1,0,0,20260712,20260822,RVoff,muwtf,61-13
27749,0,0,0,0,0,0,0,20260712,20260822,RVon,muwtf,61-13
27750,0,0,0,0,0,0,0,20260712,20260822,RVon,muwtf,10-01
27751,0,0,0,0,0,0,0,20260712,20260822,RVon,muwtf,10-02
27752,0,0,0,0,0,0,0,20260712,20260822,RVon,muwtf,6-06
27753,0,0,0,0,0,0,0,20260712,20260822,S3on,muwtf,TripK-01
27754,0,0,0,0,0,0,0,20260712,20260822,SAon,muwtf,TripP-01
27755,0,0,0,0,0,0,0,20260712,20260822,SGon,muwtf,TripP-02
27756,0,0,0,0,0,0,0,20260712,20260822,SQon,muwtf,TripP-04
27757,0,0,0,0,0,0,0,20260712,20260822,SQon,muwtf,TripP-03
27758,0,0,0,0,0,0,0,20260712,20260822,SUon,muwtf,TripP-05
