service_id,date,exception_type
27693,20260713,2
27693,20260714,2
27693,20260715,2
27693,20260716,2
27693,20260717,2
27693,20260720,2
27693,20260721,2
27693,20260722,2
27693,20260723,2
27693,20260724,2
27693,20260727,2
27693,20260728,2
27693,20260729,2
27693,20260730,2
27693,20260731,2
27693,20260803,2
27695,20260803,2
27697,20260803,2
27699,20260803,2
27701,20260803,2
27704,20260803,2
27707,20260803,2
27708,20260803,2
27714,20260803,2
27716,20260803,2
27717,20260803,2
27720,20260803,2
27723,20260803,2
27726,20260803,2
27727,20260803,2
27732,20260803,2
27735,20260803,2
27736,20260803,2
27737,20260803,2
27738,20260803,2
27745,20260803,2
27746,20260803,2
27747,20260803,2
27748,20260803,2
27693,20260804,2
27695,20260804,2
27697,20260804,2
27699,20260804,2
27701,20260804,2
27704,20260804,2
27707,20260804,2
27708,20260804,2
27714,20260804,2
27716,20260804,2
27717,20260804,2
27720,20260804,2
27723,20260804,2
27726,20260804,2
27727,20260804,2
27732,20260804,2
27735,20260804,2
27736,20260804,2
27737,20260804,2
27738,20260804,2
27745,20260804,2
27746,20260804,2
27747,20260804,2
27748,20260804,2
27693,20260805,2
27695,20260805,2
27697,20260805,2
27699,20260805,2
27701,20260805,2
27704,20260805,2
27707,20260805,2
27708,20260805,2
27714,20260805,2
27716,20260805,2
27717,20260805,2
27720,20260805,2
27723,20260805,2
27726,20260805,2
27727,20260805,2
27732,20260805,2
27735,20260805,2
27736,20260805,2
27737,20260805,2
27738,20260805,2
27745,20260805,2
27746,20260805,2
27747,20260805,2
27748,20260805,2
27693,20260806,2
27695,20260806,2
27697,20260806,2
27699,20260806,2
27701,20260806,2
27704,20260806,2
27707,20260806,2
27708,20260806,2
27714,20260806,2
27716,20260806,2
27717,20260806,2
27720,20260806,2
27723,20260806,2
27726,20260806,2
27727,20260806,2
27732,20260806,2
27735,20260806,2
27736,20260806,2
27737,20260806,2
27738,20260806,2
27745,20260806,2
27746,20260806,2
27747,20260806,2
27748,20260806,2
27693,20260807,2
27695,20260807,2
27697,20260807,2
27699,20260807,2
27701,20260807,2
27704,20260807,2
27707,20260807,2
27708,20260807,2
27714,20260807,2
27716,20260807,2
27717,20260807,2
27720,20260807,2
27723,20260807,2
27726,20260807,2
27727,20260807,2
27732,20260807,2
27735,20260807,2
27736,20260807,2
27737,20260807,2
27738,20260807,2
27745,20260807,2
27746,20260807,2
27747,20260807,2
27748,20260807,2
27693,20260810,2
27695,20260810,2
27697,20260810,2
27699,20260810,2
27701,20260810,2
27704,20260810,2
27707,20260810,2
27708,20260810,2
27714,20260810,2
27716,20260810,2
27717,20260810,2
27720,20260810,2
27723,20260810,2
27726,20260810,2
27727,20260810,2
27732,20260810,2
27735,20260810,2
27736,20260810,2
27737,20260810,2
27738,20260810,2
27745,20260810,2
27746,20260810,2
27747,20260810,2
27748,20260810,2
27693,20260811,2
27695,20260811,2
27697,20260811,2
27699,20260811,2
27701,20260811,2
27704,20260811,2
27707,20260811,2
27708,20260811,2
27714,20260811,2
27716,20260811,2
27717,20260811,2
27720,20260811,2
27723,20260811,2
27726,20260811,2
27727,20260811,2
27732,20260811,2
27735,20260811,2
27736,20260811,2
27737,20260811,2
27738,20260811,2
27745,20260811,2
27746,20260811,2
27747,20260811,2
27748,20260811,2
27693,20260812,2
27695,20260812,2
27697,20260812,2
27699,20260812,2
27701,20260812,2
27704,20260812,2
27707,20260812,2
27708,20260812,2
27714,20260812,2
27716,20260812,2
27717,20260812,2
27720,20260812,2
27723,20260812,2
27726,20260812,2
27727,20260812,2
27732,20260812,2
27735,20260812,2
27736,20260812,2
27737,20260812,2
27738,20260812,2
27745,20260812,2
27746,20260812,2
27747,20260812,2
27748,20260812,2
27693,20260813,2
27695,20260813,2
27697,20260813,2
27699,20260813,2
27701,20260813,2
27704,20260813,2
27707,20260813,2
27708,20260813,2
27714,20260813,2
27716,20260813,2
