shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
600275,21.292192,-157.842989,10001
600275,21.29217,-157.84294,10002
600275,21.29107,-157.84033,10003
600275,21.290327,-157.840175,10004
600275,21.290327,-157.840175,20001
600275,21.29016,-157.84014,20002
600275,21.28994,-157.84006,20003
600275,21.28969,-157.83994,20004
600275,21.28952,-157.8405,20005
600275,21.28935,-157.84107,20006
600275,21.28934,-157.8413,20007
600275,21.28932,-157.8415,20008
600275,21.28929,-157.8417,20009
600275,21.28923,-157.84199,20010
600275,21.28963,-157.84363,20011
600275,21.28973,-157.84408,20012
600275,21.289877,-157.844635,20013
600275,21.289877,-157.844635,30001
600275,21.29004,-157.84525,30002
600275,21.29023,-157.84589,30003
600275,21.29045,-157.8465,30004
600275,21.29078,-157.8473,30005
600275,21.29091,-157.84762,30006
600275,21.29097,-157.84775,30007
600275,21.29102,-157.84788,30008
600275,21.29132,-157.84864,30009
600275,21.29154,-157.8492,30010
600275,21.29167,-157.8496,30011
600275,21.29178,-157.84993,30012
600275,21.29184,-157.85024,30013
600275,21.29193,-157.85066,30014
600275,21.291964,-157.850956,30015
600275,21.291964,-157.850956,40001
600275,21.29205,-157.85171,40002
600275,21.29213,-157.85209,40003
600275,21.29225,-157.85244,40004
600275,21.29234,-157.85267,40005
600275,21.29251,-157.85301,40006
600275,21.29268,-157.853291,40007
600275,21.29268,-157.853291,50001
600275,21.29308,-157.85395,50002
600275,21.29353,-157.8547,50003
600275,21.29386,-157.85522,50004
600275,21.29398,-157.85542,50005
600275,21.29414,-157.85569,50006
600275,21.29431,-157.8561,50007
600275,21.2944,-157.85635,50008
600275,21.29459,-157.85684,50009
600275,21.2947,-157.85712,50010
600275,21.29476,-157.85729,50011
600275,21.29498,-157.85786,50012
600275,21.295092,-157.858093,50013
600275,21.295092,-157.858093,60001
600275,21.29545,-157.85884,60002
600275,21.29552,-157.859,60003
600275,21.295877,-157.859762,60004
600275,21.295877,-157.859762,70001
600275,21.29597,-157.85996,70002
600275,21.2961,-157.86027,70003
600275,21.2962,-157.86045,70004
600275,21.29626,-157.86053,70005
600275,21.29633,-157.86064,70006
600275,21.29646,-157.86079,70007
600275,21.29658,-157.86091,70008
600275,21.29695,-157.86123,70009
600275,21.29732,-157.86155,70010
600275,21.297543,-157.861761,70011
600275,21.297543,-157.861761,80001
600275,21.29806,-157.86225,80002
600275,21.29819,-157.86236,80003
600275,21.29888,-157.86288,80004
600275,21.29896,-157.86292,80005
600275,21.29905,-157.86296,80006
600275,21.29918,-157.86299,80007
600275,21.29942,-157.86302,80008
600275,21.30002,-157.86308,80009
600275,21.30011,-157.86309,80010
600275,21.300203,-157.863098,80011
600275,21.300203,-157.863098,90001
600275,21.3008,-157.86315,90002
600275,21.30095,-157.86317,90003
600275,21.30103,-157.86318,90004
600275,21.30147,-157.86324,90005
600275,21.30185,-157.86329,90006
600275,21.3024,-157.86336,90007
600275,21.30273,-157.86331,90008
600275,21.303036,-157.863328,90009
600275,21.303036,-157.863328,100001
600275,21.30307,-157.86333,100002
600275,21.30331,-157.86333,100003
600275,21.30351,-157.86329,100004
600275,21.30374,-157.8632,100005
600275,21.30394,-157.86312,100006
600275,21.3043,-157.86296,100007
600275,21.30443,-157.86291,100008
600275,21.30474,-157.86278,100009
600275,21.30502,-157.86267,100010
600275,21.30514,-157.86265,100011
600275,21.305263,-157.86265,100012
600275,21.305263,-157.86265,110001
600275,21.30536,-157.86265,110002
600275,21.3055,-157.86269,110003
600275,21.30573,-157.86277,110004
600275,21.30588,-157.86284,110005
600275,21.30622,-157.86306,110006
600275,21.306521,-157.862645,110007
600275,21.306521,-157.862645,120001
600275,21.30675,-157.86233,120002
600275,21.30689,-157.86213,120003
600275,21.30704,-157.86194,120004
600275,21.30719,-157.86174,120005
600275,21.30739,-157.86147,120006
600275,21.30752,-157.8613,120007
600275,21.3076,-157.86119,120008
600275,21.30776,-157.86095,120009
600275,21.30786,-157.86079,120010
600275,21.30793,-157.86068,120011
600275,21.307951,-157.860651,120012
600275,21.307951,-157.860651,130001
600275,21.30801,-157.86057,130002
600275,21.30811,-157.86043,130003
600275,21.30828,-157.86021,130004
600275,21.30855,-157.85985,130005
600275,21.30879,-157.85954,130006
600275,21.309072,-157.8592,130007
600275,21.309072,-157.8592,140001
600275,21.30928,-157.85895,140002
600275,21.30941,-157.8588,140003
600275,21.30949,-157.85871,140004
600275,21.30958,-157.8586,140005
600275,21.30968,-157.85848,140006
600275,21.30979,-157.85833,140007
600275,21.30991,-157.85817,140008
600275,21.30999,-157.85806,140009
600275,21.31008,-157.85794,140010
600275,21.31015,-157.85785,140011
600275,21.310221,-157.857747,140012
600275,21.310221,-157.857747,150001
600275,21.31024,-157.85772,150002
600275,21.31033,-157.85757,150003
600275,21.31044,-157.85737,150004
600275,21.31052,-157.85722,150005
600275,21.31062,-157.85704,150006
600275,21.31072,-157.85687,150007
600275,21.31081,-157.85672,150008
600275,21.31093,-157.85651,150009
600275,21.31106,-157.8563,150010
600275,21.31116,-157.856131,150011
600275,21.31116,-157.856131,160001
600275,21.31119,-157.85608,160002
600275,21.31129,-157.8559,160003
600275,21.31147,-157.85558,160004
600275,21.31094,-157.85514,160005
600275,21.31063,-157.85486,160006
600275,21.31054,-157.85478,160007
600275,21.31038,-157.85463,160008
600275,21.31007,-157.85436,160009
600275,21.31024,-157.85429,160010
600275,21.31044,-157.85424,160011
600275,21.3106,-157.85418,160012
600275,21.3107,-157.85411,160013
600275,21.31075,-157.85407,160014
600275,21.31081,-157.854,160015
600275,21.31092,-157.8538,160016
600275,21.31102,-157.85362,160017
600275,21.31113,-157.85341,160018
600275,21.31121,-157.85325,160019
600275,21.31126,-157.85315,160020
600275,21.31132,-157.85303,160021
600275,21.31139,-157.85291,160022
600275,21.31147,-157.8528,160023
600275,21.31151,-157.85275,160024
600275,21.31156,-157.8527,160025
600275,21.31163,-157.85265,160026
600275,21.31172,-157.8526,160027
600275,21.3118,-157.85257,160028
600275,21.31189,-157.85256,160029
600275,21.31198,-157.85256,160030
600275,21.31209,-157.85257,160031
600275,21.31219,-157.8526,160032
600275,21.31228,-157.85264,160033
600275,21.31238,-157.8527,160034
600275,21.31252,-157.8528,160035
600275,21.3128,-157.85302,160036
600275,21.31288,-157.85308,160037
600275,21.31308,-157.85325,160038
600275,21.31331,-157.85345,160039
600275,21.31355,-157.85365,160040
600275,21.31418,-157.85429,160041
600275,21.31439,-157.85446,160042
600275,21.31449,-157.85455,160043
600275,21.3146,-157.85464,160044
600275,21.31468,-157.85471,160045
600275,21.31532,-157.85523,160046
600275,21.3154,-157.8553,160047
600275,21.31629,-157.85601,160048
600275,21.31633,-157.85604,160049
600275,21.31636,-157.85607,160050
600275,21.31654,-157.85622,160051
600275,21.31712,-157.85668,160052
600275,21.31823,-157.85757,160053
