route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_headsign_short,apc_trip_id,display_code,trip_serial_number,block
1,27690,5338192,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,310362,10569,KALIHI TC STN,0,114,30203989,61-188
1,27690,5338197,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309602,10569,KALIHI TC STN,0,114,30203982,1-004
1,27690,5338204,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309626,10569,KALIHI TC STN,0,114,30203988,1-028
1,27690,5338205,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309601,10569,KALIHI TC STN,0,114,30203983,1-003
1,27690,5338217,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309627,10569,KALIHI TC STN,0,114,30203985,1-029
1,27690,5338218,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309605,10569,KALIHI TC STN,0,114,30203986,1-007
1,27690,5338226,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309686,10569,KALIHI TC STN,0,114,30203987,13-144
1,27690,5338228,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309619,10569,KALIHI TC STN,0,114,30204015,1-021
1,27690,5338231,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309605,10569,KALIHI TC STN,0,114,30204019,1-007
1,27690,5338234,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309804,10569,KALIHI TC STN,0,114,30203990,2-079
1,27690,5338254,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309599,10569,KALIHI TC STN,0,114,30204086,1-001
1,27690,5338262,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,310845,10569,KALIHI TC STN,0,114,30204097,U-310
1,27690,5338266,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309622,10569,KALIHI TC STN,0,114,30204016,1-024
1,27690,5338270,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309787,10569,KALIHI TC STN,0,114,30204141,2-062
1,27690,5338275,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309772,10569,KALIHI TC STN,0,114,30204093,2-047
1,27690,5338283,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309602,10569,KALIHI TC STN,0,114,30204103,1-004
1,27690,5338291,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309619,10569,KALIHI TC STN,0,114,30204138,1-021
1,27690,5338293,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309785,10569,KALIHI TC STN,0,114,30204090,2-060
1,27690,5338301,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309606,10569,KALIHI TC STN,0,114,30204099,1-008
1,27690,5338303,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309602,10569,KALIHI TC STN,0,114,30204091,1-004
1,27690,5338304,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309609,10569,KALIHI TC STN,0,114,30204094,1-011
1,27690,5338308,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309600,10569,KALIHI TC STN,0,114,30204104,1-002
1,27690,5338309,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,310877,10569,KALIHI TC STN,0,114,30204108,W-313
1,27690,5338311,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309603,10569,KALIHI TC STN,0,114,30204092,1-005
1,27690,5338312,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309605,10569,KALIHI TC STN,0,114,30204128,1-007
1,27690,5338316,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309603,10569,KALIHI TC STN,0,114,30204105,1-005
1,27690,5338317,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309615,10569,KALIHI TC STN,0,114,30204119,1-017
1,27690,5338319,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,310846,10569,KALIHI TC STN,0,114,30204100,U-311
1,27690,5338320,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309613,10569,KALIHI TC STN,0,114,30204132,1-015
1,27690,5338322,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309780,10569,KALIHI TC STN,0,114,30204088,2-055
1,27690,5338324,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309606,10569,KALIHI TC STN,0,114,30204111,1-008
1,27690,5338325,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309610,10569,KALIHI TC STN,0,114,30204121,1-012
1,27690,5338327,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309601,10569,KALIHI TC STN,0,114,30204101,1-003
1,27690,5338328,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309624,10569,KALIHI TC STN,0,114,30204133,1-026
1,27690,5338329,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309603,10569,KALIHI TC STN,0,114,30204084,1-005
1,27690,5338330,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309604,10569,KALIHI TC STN,0,114,30204095,1-006
1,27690,5338332,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309605,10569,KALIHI TC STN,0,114,30204116,1-007
1,27690,5338333,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309798,10569,KALIHI TC STN,0,114,30204130,2-073
1,27690,5338335,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309609,10569,KALIHI TC STN,0,114,30204107,1-011
1,27690,5338336,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309615,10569,KALIHI TC STN,0,114,30204143,1-017
1,27690,5338337,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309604,10569,KALIHI TC STN,0,114,30204085,1-006
1,27690,5338338,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309608,10569,KALIHI TC STN,0,114,30204102,1-010
1,27690,5338340,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309611,10569,KALIHI TC STN,0,114,30204126,1-013
1,27690,5338341,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309626,10569,KALIHI TC STN,0,114,30204135,1-028
1,27690,5338343,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,310337,10569,KALIHI TC STN,0,114,30204113,61-163
1,27690,5338344,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309617,10569,KALIHI TC STN,0,114,30204145,1-019
1,27690,5338345,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309606,10569,KALIHI TC STN,0,114,30204087,1-008
1,27690,5338346,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309834,10569,KALIHI TC STN,0,114,30204106,2L-083
1,27690,5338348,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309612,10569,KALIHI TC STN,0,114,30204127,1-014
1,27690,5338349,KAHAUIKI KALIHI TRANSIT CNTR SKYLINE STN,0,309621,10569,KALIHI TC STN,0,114,30204139,1-023
